fold,model,RMSE,MAE,R2,epochs,params,train_time_s
1,QNN,4.711011810294866,4.381489176456848,-8.809288762484583,200,41,1.182436227798462
1,MLP,1.886690488115272,1.6678420890597208,-0.5732960532407201,106,2369,0.23529863357543945
2,QNN,5.962016566703766,5.867339036718779,-32.018726241674905,200,41,0.30947279930114746
2,MLP,0.6880092127810518,0.6192317732590761,0.5602939249252659,97,2369,0.20580124855041504
3,QNN,5.130479757185664,5.077459846905417,-64.39763719508716,200,41,0.3266878128051758
3,MLP,0.6522688341866076,0.5400816649481186,-0.057059313759136865,200,2369,0.33196425437927246
4,QNN,5.619502664617885,5.491691379522062,-22.045106917187848,200,41,0.2774672508239746
4,MLP,1.0340838056593642,0.8449707479975332,0.21964100963151856,112,2369,0.18745970726013184
5,QNN,5.522774616876536,5.4499140482355175,-37.60104248251891,200,41,0.2583460807800293
5,MLP,1.4721525314665989,1.3104801133323836,-1.7427739345737066,93,2369,0.15288591384887695
